序号,漏洞名称,严重等级,URL,Payload,描述,修复建议,置信度
1,XSS (reflected),高危,http://47.95.192.41:8082/vul/xss/xss_reflected_get.php,<script>alert(1)</script>,检测到 reflected 型 XSS，payload 被反射到响应中,对用户输入进行 HTML 转义，使用 Content-Security-Policy,90%
2,XSS (reflected),高危,http://47.95.192.41:8082/vul/xss/xss_reflected_get.php,<img src=x onerror=alert(1)>,检测到 reflected 型 XSS，payload 被反射到响应中,对用户输入进行 HTML 转义，使用 Content-Security-Policy,90%
3,XSS (reflected),高危,http://47.95.192.41:8082/vul/xss/xss_reflected_get.php,<svg onload=alert(1)>,检测到 reflected 型 XSS，payload 被反射到响应中,对用户输入进行 HTML 转义，使用 Content-Security-Policy,90%
4,XSS (reflected),高危,http://47.95.192.41:8082/vul/xss/xss_04.php,<script>alert(1)</script>,检测到 reflected 型 XSS，payload 被反射到响应中,对用户输入进行 HTML 转义，使用 Content-Security-Policy,90%
5,XSS (reflected),高危,http://47.95.192.41:8082/vul/xss/xss_04.php,<img src=x onerror=alert(1)>,检测到 reflected 型 XSS，payload 被反射到响应中,对用户输入进行 HTML 转义，使用 Content-Security-Policy,90%
6,XSS (reflected),高危,http://47.95.192.41:8082/vul/xss/xss_04.php,<svg onload=alert(1)>,检测到 reflected 型 XSS，payload 被反射到响应中,对用户输入进行 HTML 转义，使用 Content-Security-Policy,90%
7,XSS (bypass),高危,http://47.95.192.41:8082/vul/xss/xss_03.php,javascript:alert(String.fromCharCode(49)),检测到 bypass 型 XSS，payload 被反射到响应中,对用户输入进行 HTML 转义，使用 Content-Security-Policy,90%
8,XSS (bypass),高危,http://47.95.192.41:8082/vul/xss/xss_02.php,javascript:alert(String.fromCharCode(49)),检测到 bypass 型 XSS，payload 被反射到响应中,对用户输入进行 HTML 转义，使用 Content-Security-Policy,90%
9,XSS (reflected),高危,http://47.95.192.41:8082/vul/xss/xss_01.php,<img src=x onerror=alert(1)>,检测到 reflected 型 XSS，payload 被反射到响应中,对用户输入进行 HTML 转义，使用 Content-Security-Policy,90%
10,XSS (reflected),高危,http://47.95.192.41:8082/vul/xss/xss_01.php,<svg onload=alert(1)>,检测到 reflected 型 XSS，payload 被反射到响应中,对用户输入进行 HTML 转义，使用 Content-Security-Policy,90%
11,敏感信息: Email Pattern,高危,http://47.95.192.41:8082,1061****.com,发现 Email Pattern: 1061****.com,移除敏感信息，使用环境变量,85%
